臺灣 Taiwan,#genre#
AXN,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=axn_twn
CINEMAX,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cinemax_twn
EYE戲劇,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=eyetvxiju_twn
EYE旅遊,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=eyetvtravel_twn
HBO,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=hbohd_twn
HBO Family,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=fyi_twn
好萊塢電影台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=hollywoodmovies_twn
MTV Live,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=mtvhd_twn
TLC旅遊生活,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tlc_twn
東森新聞,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ettvnews
TVBS HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tvbs
TVBS新聞台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tvbs_n
TVBS歡樂台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tvbshuanle_twn
三立台灣台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=sanlitaiwan
三立戲劇台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=sanlixiju_twn
三立綜合台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=sanlizhonghe
中天亞洲台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ctiasia_twn
中天娱樂,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ctient
中天新聞HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ctinews
中天綜合,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ctizhonghe
亞洲旅遊台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=asiatravel_twn
亞洲美食,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=afc_twn
八大戲劇,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=badadrama
八大第一,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=badafirst
八大綜合,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=badazhonghe
公視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ctv_taiwan
民視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ftvhd_taiwan
民視第一台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=lunghuajingdian_twn
民視台灣台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ftvtaiwan_twn
民視新聞台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ftvnew_taiwan
台視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ttv_taiwan	
台視新聞台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ttvnews_twn
中視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=zhongshihd_twn
中視新聞台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=zhongshinews_twn
中視經典,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=zhongshi_twn
華視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ctshd_twn
華藝綜合,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=weishichinese_twn
大愛一台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=daai_twn
寰宇新聞台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=huanyuxinwen_twn
